Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Retire,NextPercentile
Reggie White,0.2587800369685767,0.5422794117647058,0.8601190476190477,0.8773584905660378,0.8574108818011257,0.8686679174484052,0.8555347091932458,0.7732342007434945,0,0.4776951672862453
Jerick McKinnon,0.1282051282051282,0.3270029673590504,0.3747800586510263,0.3989485981308411,0.3236686390532544,0.2528324388789505,0.2395104895104895,0.3294997124784359,0,0.3520286396181384
Darryl Talley,0.3108910891089109,0.6274131274131274,0.7171903881700554,0.7444852941176471,0.7202380952380952,0.7547169811320755,0.8123827392120075,0.9943714821763602,0,1.0
Terry Schmidt,0.6029411764705882,0.7174887892376681,0.7178423236514523,0.2716535433070866,0.2904411764705882,0.7456445993031359,0.7953795379537953,0.7361963190184049,0,0.7339449541284404
Blake Martinez,0.6826979472140763,0.8855140186915887,0.9609467455621302,0.9833035181872392,0.9865967365967366,0.9631972397929844,0.8663484486873508,0.5301507537688442,1,
Usama Young,0.478856462179869,0.6748798076923077,0.7320574162679426,0.7555948174322733,0.7663438256658596,0.8508454106280193,0.8873576992210904,0.8509242695289206,1,
Deltha O'Neal,0.4029411764705882,0.8163538873994638,0.93107849393746,0.9437577255871448,0.9195121951219511,0.9310761789600968,0.9456849728424864,0.9100655151876116,0,0.8149038461538461
Heath Evans,0.3250670241286863,0.3158902361199744,0.3572311495673671,0.423170731707317,0.4280532043530834,0.4399517199758599,0.4127456819535438,0.4242788461538461,1,
Tommy Kelly,0.7347560975609756,0.8561064087061668,0.9161134580567292,0.8540798094103633,0.8251201923076923,0.7990430622009569,0.866902237926973,0.9037530266343826,0,0.8997584541062802
Trumaine Johnson,0.6183574879227053,0.811264230077891,0.9087656529516994,0.9810089020771512,0.9689149560117302,0.973714953271028,0.9526627218934912,0.9338103756708408,1,
E.J. Henderson,0.5160692212608158,0.6963414634146341,0.7732769044740024,0.9076644538322268,0.9362715902322812,0.9230769230769232,0.8558612440191388,0.856301531213192,0,0.8970944309927361
Neiko Thorpe,0.3134057971014493,0.2995805871779509,0.4364937388193202,0.7002967359050445,0.7454545454545455,0.7628504672897196,0.6165680473372781,0.5861657722122838,0,0.5064102564102564
Derek Hagan,0.3705491852745926,0.535437760571769,0.5402644230769231,0.5532296650717703,0.4581861012956419,0.4612590799031477,0.3725845410628019,0.1857399640503295,0,0.3518187239117472
Victor Green,0.2079395085066162,0.6075085324232082,0.8898450946643718,0.9715242881072028,0.988599348534202,0.9875195007800311,0.9992647058823528,0.9953083109919572,0,0.9955328653477984
John Browning,0.1944922547332186,0.3735343383584589,0.3843648208469055,0.2761310452418096,0.6801470588235294,0.735254691689008,0.8321633694958519,0.7682323856613102,0,0.823170731707317
Jamal Lewis,0.175,0.0509383378016085,0.2284620293554563,0.2354758961681087,0.2176829268292683,0.1185006045949214,0.048280024140012,0.1274568195354377,0,0.1905048076923076
