Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Damien Richardson,15,1,27,27.0,27,0,1.0,8.0
Austin Robbins,14,0,0,0.0,0,0,2.0,17.0
James Roberson,2,0,0,0.0,0,0,1.0,7.0
Marcus Robertson,15,1,3,3.0,3,0,0.5,0.0
Bryan Robinson,16,0,0,0.0,0,0,5.0,27.0
Damien Robinson,16,2,36,18.0,36,0,0.5,4.0
Eddie Robinson,16,0,0,0.0,0,0,6.0,34.0
Eugene Robinson,16,3,7,2.33,7,0,0.0,0.0
Derrick Rodgers,16,1,5,5.0,5,0,0.0,0.0
Sam Rogers,16,1,24,24.0,24,0,3.0,13.5
Samari Rolle,16,4,65,16.25,30,0,3.0,29.0
Bill Romanowski,16,3,35,11.67,18,1,0.0,0.0
Adrian Ross,16,0,0,0.0,0,0,1.0,7.0
Andre Royal,3,0,0,0.0,0,0,1.0,13.0
Orpheus Roye,16,1,2,2.0,2,0,4.5,44.5
Mike Rucker,16,0,0,0.0,0,0,3.0,17.0
Dwayne Rudd,16,0,0,0.0,0,0,3.0,25.0
Darrell Russell,16,0,0,0.0,0,0,9.5,64.0
Deion Sanders,14,3,2,0.67,2,0,0.0,0.0
Patrick Sapp,15,0,0,0.0,0,0,1.0,17.0
Warren Sapp,15,0,0,0.0,0,0,12.5,94.5
Craig Sauer,16,0,0,0.0,0,0,1.0,8.0
Kurt Schulz,16,3,26,8.67,26,0,0.0,0.0
Lance Schulters,13,6,127,21.17,64,1,0.0,0.0
Chad Scott,13,1,16,16.0,16,0,0.0,0.0
Tracy Scroggins,14,0,0,0.0,0,0,8.5,45.0
Junior Seau,14,1,16,16.0,16,0,3.5,32.0
Jason Sehorn,10,1,0,0.0,0.0
Kato Serwanga,16,3,2,0.67,2,0,1.0,6.0
Sam Shade,16,2,7,3.5,7,0,1.5,11.5
Darren Sharper,16,3,12,4.0,9,0,1.0,6.0
Jamie Sharper,16,0,0,0.0,0,0,4.0,19.0
Scott Shields,16,4,75,18.75,25,0,1.0,15.0
Dainon Sidney,16,3,12,4.0,7,0,0.0,0.0
Tracy Simien,8,1,4,4.0,4,0,1.0,2.0
Brian Simmons,16,0,0,0.0,0,0,3.0,20.0
Clyde Simmons,16,0,0,0.0,0,0,7.0,45.0
Michael Sinclair,15,0,0,0.0,0,0,6.0,40.5
Alshermond Singleton,15,1,7,7.0,7,0,0.5,4.0
Tony Siragusa,14,0,0,0.0,0,0,3.5,19.5
Chris Slade,16,1,0,0.0,0,0,4.5,23.0
Joel Smeenge,15,0,0,0.0,0,0,5.0,36.5
Bruce Smith,16,0,0,0.0,0,0,7.0,59.0
Brady Smith,16,0,0,0.0,0,0,6.0,30.0
Chuck Smith,16,0,0,0.0,0,0,10.0,63.0
Darrin Smith,15,1,0,0.0,0,0,1.0,2.0
Derek Smith,16,1,0,0.0,0,0,1.0,6.5
Fernando Smith,15,0,0,0.0,0,0,2.0,15.0
Frankie Smith,15,0,0,0.0,0,0,1.0,12.0
Jermaine Smith,10,1,2,2.0,2,0,0.5,0.5
Kevin Smith,8,1,16,16.0,16,0,0.0,0.0
Larry Smith,15,0,0,0.0,0,0,3.0,24.0
Neil Smith,15,0,0,0.0,0,0,6.5,42.0
Thomas Smith,16,1,29,29.0,29,0,0.0,0.0
Phillippi Sparks,11,1,28,28.0,28,0,0.0,0.0
Alonzo Spellman,16,0,0,0.0,0,0,5.0,40.0
Jimmy Spencer,14,4,1,0.25,1,0,0.0,0.0
Takeo Spikes,16,2,7,3.5,7,0,3.0,14.0
Greg Spires,11,0,0,0.0,0,0,0.5,6.5
Shawn Springs,16,5,77,15.4,42,0,0.0,0.0
Duane Starks,16,5,59,11.8,43,1,0.0,0.0
Joel Steed,14,0,0,0.0,0,0,3.0,28.0
Matt Stevens,15,6,61,10.17,25,0,1.0,2.0
Ryan Stewart,2,0,0,0.0,0,0,1.0,6.0
Omar Stoutmire,12,2,97,48.5,67,1,1.0,8.0
Michael Strahan,16,1,44,44.0,44,1,5.5,22.5
Dana Stubblefield,16,0,0,0.0,0,0,3.0,19.0
Chris Sullivan,16,0,0,0.0,0,0,1.0,8.0
Patrick Surtain,16,2,28,14.0,28,0,2.0,9.0
Eric Swann,9,1,42,42.0,42,1,4.0,26.0
Rashod Swinger,15,0,0,0.0,0,0,1.0,4.0
Sam Sword,10,0,0,0.0,0,0,1.0,8.0
Maa Tanuvasa,16,0,0,0.0,0,0,7.0,30.0
Robert Tate,16,1,18,18.0,18,0,0.0,0.0
Bobby Taylor,15,4,59,14.75,28,1,0.0,0.0
Jason Taylor,15,1,0,0.0,0,0,2.5,19.5
George Teague,14,3,127,42.33,95,2,0.0,0.0
John Thierry,16,1,8,8.0,8,0,7.0,47.0
Dave Thomas,15,2,36,18.0,36,0,0.0,0.0
Derrick Thomas,16,1,20,20.0,20,0,7.0,65.0
Henry Thomas,16,0,0,0.0,0,0,3.0,22.0
Hollis Thomas,16,0,0,0.0,0,0,1.0,3.0
Mark Thomas,15,0,0,0.0,0,0,3.0,23.0
Orlando Thomas,13,2,32,16.0,27,1,0.0,0.0
Ratcliff Thomas,16,1,0,0.0,0,0,0.0,0.0
William Thomas,14,0,0,0.0,0,0,2.5,3.5
Zach Thomas,16,1,0,0.0,0,0,1.0,10.0
John Thornton,16,0,0,0.0,0,0,4.5,39.0
Pat Tillman,16,2,7,3.5,6,0,0.0,0.0
Jared Tomich,8,0,0,0.0,0,0,3.0,16.0
Reggie Tongue,16,1,80,80.0,46,1,2.0,38.0
James Trapp,16,0,0,0.0,0,0,1.0,7.0
Keith Traylor,15,0,0,0.0,0,0,1.5,10.5
Jeremiah Trotter,16,2,30,15.0,30,0,2.5,13.5
Esera Tuaolo,12,0,0,0.0,0,0,1.0,10.0
Winfred Tubbs,16,1,8,8.0,8,0,2.0,18.0
Jessie Tuggle,14,0,0,0.0,0,0,3.5,20.5
Van Tuinei,16,0,0,0.0,0,0,2.5,14.0
Eric Turner,10,3,43,14.33,24,0,0.0,0.0
Troy Vincent,14,7,91,13.0,35,0,1.0,17.0
Fred Vinson,16,2,21,10.5,21,0,1.0,8.0
