Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
William Gay,16,1,12,12.0,12,0,33,8,41,0.0,0.0
Brett Keisel,10,0,0,0.0,0,0,22,19,41,1.0,9.0
Alex Lewis,11,0,0,0.0,0,0,32,9,41,0.0,0.0
Turk McBride,9,0,0,0.0,0,0,25,16,41,0.0,0.0
Bryant McFadden,10,2,0,0.0,0,0,37,4,41,1.0,0.0
Ed Reed,16,9,264,29.33,108,2,34,7,41,1.0,9.0
Antonio Smith,16,0,0,0.0,0,0,31,10,41,3.5,24.0
Dwight Smith,10,0,0,0.0,0,0,33,8,41,0.0,0.0
DeMarcus Tyler,16,0,0,0.0,0,0,29,12,41,0.0,0.0
Gerard Warren,16,0,0,0.0,0,0,32,9,41,4.0,33.0
Ty Warren,13,0,0,0.0,0,0,31,10,41,2.0,11.0
Chris Long,16,0,0,0.0,0,0,32,8,40,4.0,34.0
Rashean Mathis,12,4,151,37.75,72,2,39,1,40,1.0,6.0
Hank Poteat,13,2,47,23.5,41,0,29,11,40,1.0,6.0
Isaac Sopoaga,16,0,0,0.0,0,0,26,14,40,1.0,7.0
Nnamdi Asomugha,15,1,0,0.0,0,0,33,7,40,0.0,0.0
Boss Bailey,6,0,0,0.0,0,0,31,9,40,0.0,0.0
David Bowens,16,1,24,24.0,24,0,21,19,40,4.0,19.0
Tyler Brayton,16,0,0,0.0,0,0,35,5,40,4.5,25.0
Josh Bullocks,16,1,23,23.0,23,0,33,7,40,0.0,0.0
Luis Castillo,15,1,4,4.0,4,0,27,13,40,1.5,3.0
Roderick Hood,15,1,0,0.0,0,0,39,1,40,0.0,0.0
Chauncey Davis,16,0,0,0.0,0,0,30,9,39,4.0,25.0
Keith Davis,16,0,0,0.0,0,0,30,9,39,0.0,0.0
Andre' Goodman,16,5,53,10.6,55,0,33,6,39,0.0,0.0
Parys Haralson,16,0,0,0.0,0,0,28,11,39,8.0,45.0
Brandon Mebane,16,0,0,0.0,0,0,29,10,39,5.5,24.0
Karl Paymah,16,1,13,13.0,13,0,35,4,39,0.0,0.0
Nick Roach,14,0,0,0.0,0,0,30,9,39,0.0,0.0
Bob Sanders,6,1,0,0.0,0,0,25,14,39,0.0,0.0
Dewayne White,12,1,0,0,28,11,39,6.5,44.5
Dunta Robinson,11,2,0,0.0,0,0,35,3,38,0.0,0.0
Donald Strickland,14,0,0,0.0,0,0,28,10,38,0.0,0.0
Leon Williams,14,0,0,0.0,0,0,30,8,38,0.0,0.0
John Abraham,16,0,0,0.0,0,0,37,1,38,16.5,109.5
Gaines Adams,16,2,50,25.0,45,1,27,11,38,6.5,35.5
Jonathan Babineaux,16,0,0,0.0,0,0,31,7,38,3.5,26.5
Kevin Burnett,16,0,0,0.0,0,0,29,9,38,2.0,12.0
Chris Draft,12,0,0,0.0,0,0,33,5,38,0.0,0.0
Ebenezer Ekuban,15,0,0,0.0,0,0,29,9,38,5.0,34.0
Domonique Foxworth,14,1,1,1.0,1,0,35,3,38,0.0,0.0
Robert Geathers,11,0,0,0.0,0,0,22,16,38,2.5,19.5
Joselio Hanson,16,1,13,13.0,13,0,27,11,38,1.0,7.0
Ricky Brown,7,0,0,0.0,0,0,28,9,37,0.0,0.0
Chris Canty,16,0,0,0.0,0,0,25,12,37,3.0,23.5
Andre Carter,16,0,0,0.0,0,0,24,13,37,4.0,19.0
Shaun Cody,16,0,0,0.0,0,0,26,11,37,0.0,0.0
Travis Fisher,14,0,0,0.0,0,0,30,7,37,0.0,0.0
Drayton Florence,15,0,0,0.0,0,0,33,4,37,0.0,0.0
Jabari Greer,10,2,75,37.5,42,2,31,6,37,0.0,0.0
Tommie Harris,14,0,0,0.0,0,0,33,4,37,5.0,31.0
Clint Ingram,16,0,0,0.0,0,0,32,5,37,2.0,5.0
Terence Newman,10,4,2,0.5,2,0,32,5,37,0.0,0.0
Cory Redding,13,0,0,0.0,0,0,31,6,37,3.0,19.5
Keith Rivers,7,1,39,39.0,39,0,24,13,37,0.0,0.0
Jyles Tucker,13,0,0,0.0,0,0,27,10,37,5.5,37.0
Maurice Leggett,12,1,27,27.0,27,1,31,5,36,0.0,0.0
Fred Robbins,14,0,0,0.0,0,0,29,7,36,5.5,34.5
Asante Samuel,15,4,64,16.0,50,1,32,4,36,0.0,0.0
Orlando Scandrick,16,0,0,0.0,0,0,35,1,36,1.0,9.0
Shaun Smith,11,0,0,0.0,0,0,26,10,36,0.0,0.0
Shawn Springs,9,1,0,0.0,0,0,31,5,36,1.0,9.0
Jason Allen,15,1,2,2.0,2,0,33,3,36,0.0,0.0
Marques Douglas,16,0,0,0.0,0,0,24,12,36,0.0,0.0
Greg Ellis,16,1,11,11.0,11,0,25,11,36,8.0,41.5
Steve Gregory,15,0,0,0.0,0,0,31,5,36,0.0,0.0
Kyries Hebert,16,0,0,0.0,0,0,22,14,36,0.0,0.0
Ma'ake Kemoeatu,14,0,0,0.0,0,0,31,5,36,0.0,0.0
Xavier Adibi,7,0,0,0.0,0,0,27,8,35,0.0,0.0
Josh Bell,9,0,0,0.0,0,0,32,3,35,0.0,0.0
Desmond Bishop,15,0,0,0.0,0,0,29,6,35,1.0,6.0
Will Blackmon,16,0,0,0.0,0,0,30,5,35,0.0,0.0
Tyrone Culver,15,1,1,1.0,1,0,27,8,35,0.0,0.0
Bryan Kehl,16,1,17,17.0,17,0,25,10,35,1.0,8.0
Pat Sims,11,0,0,0.0,0,0,22,13,35,1.0,2.0
Marcus Spears,16,0,0,0.0,0,0,23,12,35,1.0,6.0
