PLAYER,YEARS_REVEALED,INTS,INT YARDS,LONG,TOUCHDOWNS,SOLO TACKLES,TACKLE ASSISTS,SACKS,SACK LOSS YARDS CAUSED,FORCED FUMBLES,FUMBLE RECOVERIES,FUMBLE RECOVERY TDS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
Aaron Curry,3,0.0,0.0,0.0,0.0,0.8008192524321557,0.4456103161985515,0.44444444444444436,0.09747991080819554,0.9444444444444445,0.1111111111111111,0.1111111111111111,2.9550205905500135,0.7992811797497795,1,4,3,-0.033202754499276455
Aaron Donald,3,0.0,0.0,0.0,0.0,0.6457828172665147,0.5030574664721006,1.9000000000000004,0.6340236103533976,0.8888888888888888,0.1111111111111111,0.0,4.682863894092013,0.8868114298465951,7,6,-1,-0.05444330665056133
Aaron Donald,4,0.0,0.0,0.0,0.0,0.8508491822259107,0.7030554549810005,2.5825396825396827,0.8517745650724374,1.4444444444444444,0.2222222222222222,0.0,6.654885551485697,0.9536867560948838,6,6,0,-0.034516930102584685
Aaron Donald,5,0.0,0.0,0.0,0.0,0.920859722490476,0.7305388236068595,3.1011904761904763,1.159376117240859,2.4444444444444446,0.3333333333333333,0.0,8.689742917306448,0.9865261148643956,5,6,1,-0.016997458470728154
Aaron Donald,6,0.0,0.0,0.0,0.0,0.8843847936511396,0.728625662836189,3.503174603174603,1.3881461508517343,3.2222222222222223,0.5,0.0,10.226553432735887,0.9953205046040215,4,5,1,-0.014160471608353598
Aaron Donald,7,0.0,0.0,0.0,0.0,0.8465451068510412,0.7626064079153323,4.006746031746031,1.5848289110189535,3.5555555555555554,0.611111111111111,0.0,11.367393124198024,0.9992154933120944,3,5,2,-0.005307441408315443
Aaron Donald,8,0.0,0.0,0.0,0.0,0.811761453111664,0.9293941705383353,4.154761904761904,1.492980771713024,3.4444444444444446,0.5555555555555556,0.0,11.388898300124927,0.9990293698853817,2,4,2,-0.0031572325209825447
Aaron Donald,9,0.0,0.0,0.0,0.0,0.7823075415668008,1.0591839905030183,3.8876262626262625,1.3462404086910633,3.2222222222222223,0.4444444444444444,0.0,10.742024870053811,0.9982337063406479,1,3,2,-0.0006403730624088277
Aaron Francisco,3,0.2666666666666667,0.13555555555555557,0.16296296296296295,0.0,0.3091577721523985,0.16286516931678216,0.0,0.0,0.0,0.0,0.0,1.0372081266543656,0.5971222807471958,3,2,-1,-0.048092102311853124
Aaron Francisco,4,0.4000000000000001,0.20333333333333334,0.24444444444444444,0.0,0.5835763595900382,0.2776822905855163,0.0,0.0,0.08333333333333333,0.0,0.0,1.7923697612866654,0.7233491530536479,2,2,0,-0.001872290549190192
Aaron Francisco,5,0.2666666666666667,0.13555555555555557,0.16296296296296295,0.0,0.6914826572823327,0.2964033157581544,0.0,0.0,0.16666666666666666,0.0,0.0,1.7197378248923387,0.7191150257372222,1,1,0,-0.10633279103585735
Aaron Glenn,3,0.8000000000000002,0.3068842057089375,0.43968126780626776,0.4444444444444444,0.62739138226375,0.42962962962962964,0.0,0.0,0.4166666666666667,0.0,0.0,3.464697596519696,0.6160283739333022,11,5,-6,-0.020018772261433802
Aaron Glenn,4,1.4666666666666668,0.4406055370366491,0.6393310275725529,0.6666666666666666,0.8836305176535212,0.4666666666666667,0.0,0.0,0.4166666666666667,0.0,0.0,4.98023374892939,0.7870214701745891,10,5,-5,-0.04067493159365332
Aaron Glenn,5,1.8,0.35320541007230605,0.5179337787918296,0.4444444444444444,1.0755887426330413,0.449537037037037,0.0,0.0,0.25,0.037037037037037035,0.0,4.927746450015695,0.7682505988578088,9,4,-5,-0.0982602154035142
Aaron Glenn,6,2.222222222222222,0.2911464137122515,0.4409809744555507,0.2222222222222222,1.0613761097563104,0.34308278867102393,0.0,0.0,0.08333333333333333,0.07407407407407407,0.0,4.738438138446988,0.7973577358499591,8,3,-5,-0.08522109939377238
Aaron Glenn,7,2.2444444444444445,0.29198715116359436,0.4014337279167787,0.05555555555555555,0.9565995707984318,0.34654490828589496,0.0,0.0,0.1111111111111111,0.16666666666666666,0.0,4.5743431359424775,0.8235924789459643,7,2,-5,-0.1481986266291237
Aaron Glenn,8,2.4666666666666663,0.5725175487946577,0.6090051034966288,0.33333333333333337,0.8337027920749868,0.3990811019748401,0.03333333333333333,0.017226528854435822,0.2222222222222222,0.18518518518518517,0.0,5.67227381593629,0.9213570532175122,6,2,-4,-0.03741187382464162
Aaron Glenn,9,2.3666666666666667,0.784821825568021,0.6999098124098124,0.6111111111111112,0.7872112666633214,0.4461395490095679,0.06666666666666667,0.034453057708871644,0.3333333333333333,0.2037037037037037,0.0,6.334016992841075,0.9484462943527796,5,2,-3,0.0017355799555153206
Aaron Glenn,10,2.333333333333333,0.8783270079585279,0.6668590668590668,0.7777777777777778,0.879226002432336,0.48279286951013706,0.09999999999999999,0.05167958656330746,0.3333333333333333,0.1111111111111111,0.0,6.614440088878931,0.9607830933239864,4,1,-3,0.04819328263970846
Aaron Glenn,11,2.1,0.5990103408743882,0.4371663551991421,0.5,0.8982792348861665,0.42506788313239924,0.06666666666666667,0.034453057708871644,0.3333333333333333,0.05555555555555555,0.0,5.449532427356523,0.92298440015443,3,1,-2,-0.011876599410109767
Aaron Glenn,12,2.0444444444444443,0.36450848860506335,0.2833995694651432,0.2222222222222222,0.8936462696160273,0.36198796198796196,0.03333333333333333,0.017226528854435822,0.3333333333333333,0.0,0.0,4.554102151861965,0.8891060764579546,2,1,-1,0.07098007432649722
Aaron Glenn,13,1.7222222222222223,0.16672989629059992,0.20819102357970676,0.1111111111111111,0.7008119707957174,0.24134314456895098,0.0,0.0,0.2222222222222222,0.0,0.0,3.3726315907905304,0.8344907179160428,1,1,0,0.16245239908606246
Aaron Jones~,3,0.06666666666666668,0.0037878787878787776,0.006944444444444444,0.0,0.0,0.0,0.33971291866028697,0.0,0.0,0.0,0.0,0.4171119085592769,0.12641037440853364,5,4,-1,0.11644696803878155
Aaron Jones~,4,0.13333333333333336,0.007575757575757555,0.013888888888888888,0.0,0.0,0.0,0.47178552441710325,0.0,0.0,0.0,0.0,0.626583504215083,0.19699812382739212,4,3,-1,0.09523212349584494
Aaron Jones~,5,0.20000000000000004,0.011363636363636333,0.020833333333333332,0.0,0.0,0.0,0.532028725011181,0.0,0.0,0.0,0.0,0.7642256947081506,0.24255052530508148,3,3,0,0.039022489193094305
Aaron Jones~,6,0.13333333333333336,0.007575757575757555,0.013888888888888888,0.0,0.0,0.0,0.5725090797554564,0.0,0.0,0.0,0.0,0.7273070595534361,0.22828164520568348,2,2,0,0.0025950360039045106
Aaron Jones~,7,0.06666666666666668,0.0037878787878787776,0.006944444444444444,0.0,0.0,0.0,0.6719702197963066,0.04694835680751174,0.0,0.0,0.0,0.7963175665028083,0.23963680456213382,1,2,1,0.05031339228856535
Aaron Kampman,3,0.0,0.0,0.0,0.0,0.2918797075155313,0.5167869167869168,0.33320802005012523,0.11634493256728082,0.7777777777777778,0.14814814814814814,0.0,2.18414550284578,0.71690856214693,6,5,-1,-0.11828438756410135
Aaron Kampman,4,0.0,0.0,0.0,0.0,0.5797507810501806,0.7801827801827801,0.7462406015037593,0.23967359304852215,1.4722222222222223,0.2407407407407407,0.0,4.058810718748205,0.8514594192415768,5,4,-1,-0.07958419200384262
