Player,Year1,Year2,Year3,Year4,Year5,Retire,NextPercentile
Brian Brennan,0.3576826196473551,0.6906666666666667,0.8985148514851485,0.9550748752079868,0.936,0,0.8601036269430051
Brian Finneran,0.1161731207289293,0.3177570093457944,0.7072599531615925,0.869757174392936,0.9028925619834712,0,0.845213849287169
Brian Hartline,0.4834710743801653,0.7551867219917012,0.875,0.9082217973231358,0.9347826086956522,0,0.9282868525896414
Brian Kinchen,0.0293333333333333,0.2020725388601036,0.2479784366576819,0.2093023255813953,0.0134048257372654,0,0.3099730458221024
Brian Kozlowski,0.03125,0.0799031476997578,0.2799043062200957,0.4695863746958637,0.6322115384615384,0,0.621867881548975
Brian Leonard,0.2365145228215767,0.2185567010309278,0.4235537190082644,0.425311203319502,0.6349206349206349,0,0.5984703632887189
Brian Milne,0.0789473684210526,0.267639902676399,0.4254807692307692,0.3758542141230068,0.2663551401869158,1,
Brian Mitchell 2,0.0161725067385444,0.0232558139534883,0.099195710455764,0.2991913746630728,0.4869791666666667,0,0.6198547215496368
Brian Quick,0.2676864244741874,0.6205533596837944,0.796812749003984,0.7705882352941177,0.8240917782026769,0,0.7242718446601941
Brian Robiskie,0.2665289256198347,0.5456431535269709,0.6547619047619048,0.6328871892925431,0.3735177865612648,1,
Brian Stablein,0.162227602905569,0.4497607655502392,0.6423357664233577,0.7115384615384616,0.642369020501139,0,0.5070093457943925
Brian Westbrook,0.130242825607064,0.5619834710743802,0.8105906313645621,0.916155419222904,0.9293361884368307,0,0.9439834024896264
Brice Butler,0.1581027667984189,0.5119521912350598,0.7333333333333333,0.8030592734225621,0.7961165048543689,0,0.7528089887640449
Brittan Golden,0.3300395256916996,0.3266932270916334,0.5176470588235295,0.3518164435946462,0.5359223300970873,1,
Brooks Williams,0.108991825613079,0.4210526315789473,0.5694822888283378,0.4469914040114613,0.1842818428184282,1,
Bruce Coslet,0.39375,0.7473684210526316,0.7242990654205608,0.7106382978723405,0.4794007490636704,0,0.5174825174825175
Bruce Ellington,0.2231075697211155,0.3725490196078431,0.390057361376673,0.4174757281553398,0.5,1,
Bruce Hardy,0.1097922848664688,0.4741144414168937,0.6177285318559557,0.670299727520436,0.5530085959885387,0,0.5609756097560976
Bruce Harper,0.3836477987421384,0.5519287833827893,0.771117166212534,0.8199445983379502,0.8174386920980926,0,0.7879656160458453
Bruce Hill,0.6339434276206323,0.856,0.9430051813471504,0.935309973045822,0.8811369509043928,1,
Bruce Miller,0.1686507936507936,0.3881453154875717,0.5909090909090909,0.6374501992031872,0.6784313725490196,0,0.5219885277246654
Bryan Gilmore,0.2317880794701986,0.5392561983471075,0.6945010183299389,0.721881390593047,0.7194860813704497,0,0.7344398340248963
Bryan Johnson 2,0.2271662763466042,0.4525386313465783,0.5702479338842975,0.4908350305498982,0.4274028629856851,1,
Bryan Walters,0.1765873015873016,0.1739961759082218,0.150197628458498,0.1414342629482071,0.4862745098039215,0,0.7036328871892925
Bryant Johnson,0.3863636363636363,0.6374745417515275,0.8220858895705522,0.8843683083511777,0.8983402489626556,0,0.91340206185567
Bubba Franks,0.2313084112149532,0.6370023419203747,0.8344370860927153,0.8512396694214877,0.8289205702647657,0,0.7852760736196319
Buford Jordan,0.2079207920792079,0.5207986688851913,0.496,0.5103626943005182,0.4393530997304582,0,0.3979328165374677
Buford Mcgee,0.2317380352644836,0.224,0.4826732673267326,0.5074875207986689,0.472,0,0.4740932642487047
