PLAYER,YEARS_REVEALED,YARDS,RECEPTIONS,YARDS PER RECEPTION,RECEPTIONS PER TARGET,TOUCHDOWNS,20+,40+,LONG,RECEIVING 1ST DOWNS,1ST DOWN %,FUMBLES,YARDS AFTER CATCH,TARGETS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
Stanley Morgan 2,13,1.7237557833920485,1.4555256064690028,0.750075398100126,0.0,0.6686507936507936,0.46732549857549854,0.29166666666666663,0.6108626583236484,0.9042397660818713,1.7242222222222223,-0.1111111111111111,0.0,0.0,8.485213282370767,0.9679089332019077,1,1,0,0.04616896584117991
Stanley Pritchett,3,0.257468026209748,0.35643738977072303,0.28626384508737446,0.0,0.08333333333333333,0.037037037037037035,0.08333333333333333,0.4437123327693865,0.09008211831741242,0.44666666666666666,-0.6666666666666666,0.0,0.0,1.417667415858348,0.3167161452433254,6,3,-3,-0.11506357926933596
Stanley Pritchett,4,0.2726926828114657,0.4562591625179529,0.3338648012765538,0.0,0.1111111111111111,0.03616557734204792,0.05555555555555555,0.42839918315326014,0.11245852187028656,0.574,-0.4444444444444444,0.0,0.0,1.9360621511937892,0.44134148992621713,5,2,-3,-0.14215896564013383
Stanley Pritchett,5,0.3094549799014097,0.5929674152410936,0.350280572280548,0.0,0.1388888888888889,0.03529411764705881,0.027777777777777776,0.38685146563589917,0.1548559606571777,0.6568888888888889,-0.2222222222222222,0.0,0.0,2.43103784469652,0.5507320046649821,4,1,-3,-0.09250585480093676
Stanley Pritchett,6,0.3051590759331527,0.6217391600277264,0.3090611680023081,0.0,0.16666666666666666,0.0270152505446623,0.0,0.2777931995953315,0.18836451055517991,0.6873333333333332,0.0,0.0,0.0,2.583132364658361,0.601599340880679,3,1,-2,-0.050408230087560846
Stanley Pritchett,7,0.28581566959616944,0.5512592856377518,0.2995115892855589,0.07818930041152264,0.12698412698412698,0.023720043572984743,0.0,0.23526599550916671,0.18965884523243096,0.7293333333333333,0.0,0.024460057246942488,0.010638297872340422,2.5548365446823285,0.5958501047915675,2,1,-1,-0.055116301028386494
Stanley Pritchett,8,0.22021992345210825,0.41476420905371314,0.2679523487330608,0.23045267489711935,0.08730158730158728,0.02412854030501089,0.0,0.19694562382618136,0.14917708249753708,0.6553333333333333,0.0,0.07388206274350445,0.03281505728314238,2.352972443426298,0.5396272989935705,1,1,0,-0.06548810112872938
Stanley Wilson 2,3,0.08017301807115618,0.13409456887717755,0.22477756164334212,0.0,0.047619047619047596,0.0,0.0,0.1166081871345029,0.04801340826185544,0.5555555555555556,-0.3333333333333333,0.0,0.0,0.8735080138293042,0.16893696399600436,3,3,0,0.19511003786173142
Stanley Wilson 2,4,0.06881911437482062,0.1130141999707217,0.2747899365819333,0.0,0.03174603174603173,0.0037037037037037,0.0,0.15701104613385314,0.038103043149626974,0.611111111111111,-0.2222222222222222,0.0,0.0,1.07607596454958,0.2430445780094382,2,2,0,0.09373582224070993
Stanley Wilson 2,5,0.05083171150767249,0.07905138339920947,0.24384195417825752,0.0,0.015873015873015865,0.0074074074074074,0.0,0.1652501624431449,0.023657530645108265,0.4444444444444444,-0.1111111111111111,0.0,0.0,0.9192464987871494,0.23176894028837158,1,2,1,-0.06533690795352992
Stefan Logan,3,0.006831424552943489,0.011251758087201066,0.2094767398446834,0.4444444444444444,0.0,0.0,0.0,0.04924544797962516,0.0020964360587001998,0.2222222222222222,0.0,0.011651248324452067,0.0034798612332267,0.9606995827474989,0.18456445234076316,1,1,0,-0.0173595628745683
Stephen Alexander,3,0.4665227387663853,0.6429027183581059,0.3491449597668935,0.0,0.2777777777777778,0.11866830065359474,0.0,0.2644841710464628,0.28831643002028395,0.8286666666666667,-0.8888888888888888,0.0,0.0,2.3475948741672816,0.49856312368753025,6,5,-1,0.13898153168358113
